userName,score,at,content
Putri Setyawati,1,2026-04-26 10:30:02,"ini aplikasi kenapa ya, sudah perpanjang sim sudah bayar, tp gak datang2 dan pas log in malah masuknya daftar lagi, yg sudah bayar dan di proses kemana data nya ?"
ERWINSYAH Erwin,1,2026-04-26 10:17:18,aplikasi gak jelas nih dah nunggu 4 hari skali nya bisa malah data yang sudah masuk hilang. dan gitu registrasi masukin no. otp sudah malah data orang! tolong lah saya sudah menyelesaikan semua nya termasuk pembayaran tapi malah ilang akun saya
Tri Susilo Andik Wijonarko,5,2026-04-26 10:11:33,"Bagus dan cepat, tidak perlu repot antri."
Sijee Kosong,1,2026-04-26 09:51:03,verifikasi aja susah nya minta ampun
ANO TV,1,2026-04-26 09:39:30,"status sudah terbayar, sudah seminggu blm ada perubahan, ditambah aplikasi eror ga bisa di akses. sekarang malah minta masukin pin, padahal blm pernah bikin pin. fitur lupa pin pun gabisa digunain."
Fajar Rinaldy Dewantara,3,2026-04-26 09:39:22,"Belum sempurna, masih banyak kekurangan, mohon disempurnakan."
AL TouYinX,1,2026-04-26 09:17:25,"akun sudah terverifikasi, kemarin tiba tiba logout sendiri, susah login kembali, setelah bisa login kembali tapi disuruh verifikasi ulang, tapi gagal terus pas verifikasi ktp"
Ika Aiyu,5,2026-04-26 09:12:25,Bagus
M. Mustaan Hadi,1,2026-04-26 09:07:52,"Apa-apaan nih, dari kemarin2 ga bisa login sekarang giliran udah bisa malah ngulang dari awal suruh verifikasi no.hp, email, dan KTP, tapi pas verifikasi KTP malah ga bisa gagal terus. terus bagaimana perpanjang SIM sy padahal udah bayar juga, GAJELAS!! kasi solusi kek bukan kasi masalah baru."
Reyhan Andreyana,1,2026-04-26 09:06:48,kurang
blues males,1,2026-04-26 09:02:05,"log out karna aplikasi eror, pas bisa login lagi semua data hilang termasuk pengajuan sim, padahal sudah bayar, coba tanya lewat email, IG ga di respon"
dhe 88 -,1,2026-04-26 08:57:24,"status dikemas namun sudah 1 bulan belum juga dikirim, ga tau lagi, ga recommended!"
Dian Khristin,5,2026-04-26 08:47:23,layanan gampang dan cepat
Amris Bamazruk,1,2026-04-26 08:24:10,"aplikasi payah, verifikasi nik pun gagal terus dari awal daftar selalu error kode otp pun tidak.ada"
